Artist,Artist_URL,Result
Apache,https://en.wikipedia.org/wiki/Apache,200
Aquarius Woods ,https://en.wikipedia.org/wiki/Aquarius_Woods_,404
Arcani Crosswords,https://en.wikipedia.org/wiki/Arcani_Crosswords,404
Ark Gwalla,https://en.wikipedia.org/wiki/Ark_Gwalla,404
Arves,https://en.wikipedia.org/wiki/Arves,404
A$AP Press ,https://en.wikipedia.org/wiki/A$AP_Press_,404
A$AP Snacks,https://en.wikipedia.org/wiki/A$AP_Snacks,404
A$AP Yams ,https://en.wikipedia.org/wiki/A$AP_Yams_,200
ATM Grinda,https://en.wikipedia.org/wiki/ATM_Grinda,404
Au$tin The PacMan,https://en.wikipedia.org/wiki/Au$tin_The_PacMan,404
Avenue Ront,https://en.wikipedia.org/wiki/Avenue_Ront,404
A.W.O.L.,https://en.wikipedia.org/wiki/A.W.O.L.,200
Aye'Lowe,https://en.wikipedia.org/wiki/Aye'Lowe,404
B,https://en.wikipedia.org/wiki/B,200
B-Brazy/,https://en.wikipedia.org/wiki/B-Brazy/,404
,https://en.wikipedia.org/wiki/,200
B-Dog,https://en.wikipedia.org/wiki/B-Dog,404
B-Wiz,https://en.wikipedia.org/wiki/B-Wiz,404
B4L Trip,https://en.wikipedia.org/wiki/B4L_Trip,404
Baatin ,https://en.wikipedia.org/wiki/Baatin_,200
Baby AHK,https://en.wikipedia.org/wiki/Baby_AHK,404
Baby Boy ,https://en.wikipedia.org/wiki/Baby_Boy_,200
Baby CEO,https://en.wikipedia.org/wiki/Baby_CEO,404
Baby Los,https://en.wikipedia.org/wiki/Baby_Los,404
Baby Loyalty,https://en.wikipedia.org/wiki/Baby_Loyalty,404
Baby Popa Smurf ,https://en.wikipedia.org/wiki/Baby_Popa_Smurf_,404
Baby Smiley,https://en.wikipedia.org/wiki/Baby_Smiley,404
BabyFaceCeo,https://en.wikipedia.org/wiki/BabyFaceCeo,404
Bad Azz,https://en.wikipedia.org/wiki/Bad_Azz,200
Bad News Brown ,https://en.wikipedia.org/wiki/Bad_News_Brown_,200
BaggChaserKez,https://en.wikipedia.org/wiki/BaggChaserKez,404
Baldy ,https://en.wikipedia.org/wiki/Baldy_,200
Bambino Gold,https://en.wikipedia.org/wiki/Bambino_Gold,404
Band Pacino,https://en.wikipedia.org/wiki/Band_Pacino,404
BandGang Jizzle P,https://en.wikipedia.org/wiki/BandGang_Jizzle_P,404
BandGang Paid Will,https://en.wikipedia.org/wiki/BandGang_Paid_Will,404
Bandlife Birdy,https://en.wikipedia.org/wiki/Bandlife_Birdy,404
Bando Bandz,https://en.wikipedia.org/wiki/Bando_Bandz,404
Bando HotHead,https://en.wikipedia.org/wiki/Bando_HotHead,404
BankBoy Gunna,https://en.wikipedia.org/wiki/BankBoy_Gunna,404
Bankboy Wayne,https://en.wikipedia.org/wiki/Bankboy_Wayne,404
Bankroll Fresh,https://en.wikipedia.org/wiki/Bankroll_Fresh,200
Bankroll Gambino,https://en.wikipedia.org/wiki/Bankroll_Gambino,404
Bankroll Keef,https://en.wikipedia.org/wiki/Bankroll_Keef,404
Bankroll MMB,https://en.wikipedia.org/wiki/Bankroll_MMB,404
BankRoll Q,https://en.wikipedia.org/wiki/BankRoll_Q,404
,https://en.wikipedia.org/wiki/,200
BayBay ,https://en.wikipedia.org/wiki/BayBay_,404
Baytown ,https://en.wikipedia.org/wiki/Baytown_,200
BBG BlueBenjiKobe,https://en.wikipedia.org/wiki/BBG_BlueBenjiKobe,404
